xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.587838,-2.56122,6.06012,0.3,0.05,-0.539377,-2.57244,6.06501
-0.59426,-2.56334,6.05912,0.3,0.05,-0.541407,-2.57345,6.06476
-0.597621,-2.56495,6.05862,0.3,0.05,-0.54603,-2.57563,6.06402
-0.600992,-2.56654,6.05812,0.3,0.05,-0.548808,-2.57652,6.06341
-0.60434,-2.56798,6.05762,0.3,0.05,-0.55665,-2.57952,6.06229
-0.60773,-2.56955,6.05712,0.3,0.05,-0.561223,-2.58164,6.06169
-0.614561,-2.57262,6.05611,0.3,0.05,-0.567929,-2.58475,6.06062
-0.621361,-2.5756,6.05511,0.3,0.05,-0.570227,-2.58582,6.06025
-0.624877,-2.57769,6.05463,0.3,0.05,-0.562323,-2.59072,6.0629
-0.628436,-2.57963,6.05413,0.3,0.05,-0.550462,-2.59484,6.06582
-0.632126,-2.58178,6.05362,0.3,0.05,-0.568688,-2.59388,6.06199
-0.635653,-2.5837,6.05313,0.3,0.05,-0.590222,-2.59365,6.05726
-0.642524,-2.58627,6.05213,0.3,0.05,-0.592134,-2.59473,6.05715
-0.645999,-2.58759,6.05163,0.3,0.05,-0.596823,-2.59669,6.05681
-0.649221,-2.58785,6.05113,0.3,0.05,-0.603928,-2.59968,6.05572
-0.655992,-2.58978,6.05013,0.3,0.05,-0.606243,-2.60066,6.05536
-0.659437,-2.59089,6.04964,0.3,0.05,-0.610947,-2.60264,6.05479
-0.662868,-2.5919,6.04914,0.3,0.05,-0.613209,-2.60357,6.05475
-0.666323,-2.59298,6.04864,0.3,0.05,-0.620237,-2.60648,6.05378
-0.6697,-2.59373,6.04814,0.3,0.05,-0.62824,-2.6091,6.05233
-0.676489,-2.59538,6.04714,0.3,0.05,-0.636104,-2.61175,6.05149
-0.683431,-2.59728,6.04613,0.3,0.05,-0.643391,-2.61452,6.05037
-0.690334,-2.59939,6.04514,0.3,0.05,-0.64825,-2.61637,6.04964
-0.697423,-2.60183,6.04414,0.3,0.05,-0.624636,-2.62338,6.05572
-0.700972,-2.603,6.04364,0.3,0.05,-0.642706,-2.62213,6.05198
-0.704655,-2.60463,6.04314,0.3,0.05,-0.631854,-2.62614,6.05469
-0.708363,-2.6063,6.04264,0.3,0.05,-0.649061,-2.62506,6.05122
-0.712188,-2.60833,6.04214,0.3,0.05,-0.671222,-2.62414,6.04672
-0.719463,-2.61089,6.04114,0.3,0.05,-0.678802,-2.62674,6.04579
-0.726857,-2.61301,6.04011,0.3,0.05,-0.681283,-2.62759,6.04543
-0.730271,-2.61406,6.03964,0.3,0.05,-0.673496,-2.63239,6.04766
-0.733634,-2.61419,6.03914,0.3,0.05,-0.693805,-2.63183,6.04405
-0.740722,-2.61572,6.03813,0.3,0.05,-0.700565,-2.63451,6.04326
-0.747902,-2.61748,6.03713,0.3,0.05,-0.676782,-2.64169,6.04908
-0.751326,-2.61776,6.03663,0.3,0.05,-0.69498,-2.64011,6.04551
-0.754746,-2.61802,6.03613,0.3,0.05,-0.71703,-2.63899,6.04092
-0.762,-2.61986,6.03513,0.3,0.05,-0.724692,-2.6413,6.03983
-0.769515,-2.62225,6.03412,0.3,0.05,-0.732497,-2.64364,6.03908
-0.776959,-2.62469,6.03313,0.3,0.05,-0.734944,-2.64438,6.03865
-0.780521,-2.62523,6.03263,0.3,0.05,-0.739363,-2.64616,6.03827
-0.784207,-2.62617,6.03212,0.3,0.05,-0.741184,-2.64711,6.0382
-0.787691,-2.6264,6.03162,0.3,0.05,-0.733363,-2.65185,6.04055
-0.791423,-2.62745,6.03112,0.3,0.05,-0.723302,-2.65567,6.04329
-0.795233,-2.62872,6.03062,0.3,0.05,-0.74344,-2.65342,6.03893
-0.79888,-2.62942,6.03012,0.3,0.05,-0.732424,-2.65747,6.04172
-0.802432,-2.62978,6.02962,0.3,0.05,-0.750543,-2.65572,6.03801
-0.806143,-2.63065,6.02912,0.3,0.05,-0.771714,-2.65453,6.03389
